column,dtype,pct_non_null,is_constant
away_passing_air_yards_per_attempt_produced_roll5,float64,95.2,False
away_passing_air_yards_produced_ewma,float64,95.2,False
away_passing_air_yards_produced_roll5,float64,95.2,False
away_passing_cpoe_allowed_ewma,float64,99.5,False
away_passing_cpoe_allowed_roll5,float64,99.5,False
away_passing_cpoe_matchup_ewma,float64,95.2,False
away_passing_cpoe_matchup_roll5,float64,95.2,False
away_passing_cpoe_produced_ewma,float64,95.2,False
away_passing_cpoe_produced_roll5,float64,95.2,False
away_passing_epa_allowed_ewma,float64,99.5,False
away_passing_epa_allowed_roll5,float64,99.5,False
away_passing_epa_matchup_ewma,float64,95.2,False
away_passing_epa_matchup_roll5,float64,95.2,False
away_passing_epa_per_play_allowed_ewma,float64,99.5,False
away_passing_epa_per_play_allowed_roll5,float64,99.5,False
away_passing_epa_per_play_matchup_ewma,float64,95.2,False
away_passing_epa_per_play_matchup_roll5,float64,95.2,False
away_passing_epa_per_play_produced_ewma,float64,95.2,False
away_passing_epa_per_play_produced_roll5,float64,95.2,False
away_passing_epa_produced_ewma,float64,95.2,False
away_passing_epa_produced_roll5,float64,95.2,False
away_passing_first_down_rate_allowed_ewma,float64,99.5,False
away_passing_first_down_rate_allowed_roll5,float64,99.5,False
away_passing_first_down_rate_matchup_ewma,float64,95.2,False
away_passing_first_down_rate_matchup_roll5,float64,95.2,False
away_passing_first_down_rate_produced_ewma,float64,95.2,False
away_passing_first_down_rate_produced_roll5,float64,95.2,False
away_passing_first_downs_allowed_ewma,float64,99.5,False
away_passing_first_downs_allowed_roll5,float64,99.5,False
away_passing_first_downs_matchup_ewma,float64,95.2,False
away_passing_first_downs_matchup_roll5,float64,95.2,False
away_passing_first_downs_produced_ewma,float64,95.2,False
away_passing_first_downs_produced_roll5,float64,95.2,False
away_passing_interception_rate_allowed_ewma,float64,99.5,False
away_passing_interception_rate_allowed_roll5,float64,99.5,False
away_passing_interception_rate_matchup_ewma,float64,95.2,False
away_passing_interception_rate_matchup_roll5,float64,95.2,False
away_passing_interception_rate_produced_ewma,float64,95.2,False
away_passing_interception_rate_produced_roll5,float64,95.2,False
